,rank,title,artist,other artists,year,Spotify id,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature
0,1,Theme from A Summer Place,Percy Faith,None,1960,6zwvB879PJSpTyFcg2wwnL,57,0.326,0.326,0,-15.144,1,0.0297,0.591,0.918,0.494,0.87,186.232,142.693,3
1,2,He'll Have to Go,Jim Reeves,None,1960,7dDE59NX0n466e705E8Itz,18,0.469,0.244,1,-15.702,1,0.0357,0.974,0.0162,0.845,0.577,88.271,134.333,3
2,3,Cathy's Clown,The Everly Brothers,None,1960,1MA9StLzlFftLbuqOmoWij,52,0.498,0.582,7,-8.961,1,0.0339,0.412,0,0.372,0.866,119.809,144.013,4
3,4,Running Bear,Johnny Preston,None,1960,1RYznli2VNO7FCbW1Hq4KM,39,0.772,0.297,5,-14.679,0,0.053,0.854,7.59E-06,0.125,0.822,119.987,158.2,4
4,5,Teen Angel,Mark Dinning,None,1960,36NPEs4S7ik50NrlzaqoIJ,31,0.57,0.0636,0,-18.548,1,0.0459,0.936,0,0.122,0.282,101.517,159.893,4
5,6,I'm Sorry,Brenda Lee,None,1960,4LJcNiq2pBb8OeqrGdBJQw,62,0.558,0.223,10,-12.362,1,0.0299,0.868,0.000972,0.13,0.303,101.711,161.547,3
6,7,It's Now or Never,Elvis Presley,None,1960,1XunTmhOcj3xwh4b8P3isX,63,0.643,0.491,4,-9.312,1,0.0344,0.642,0.00972,0.286,0.753,126.399,194.6,4
7,8,Handy Man,Jimmy Jones,None,1960,63l4KCU2ZpXodzDzuHtyu4,37,0.477,0.781,10,-6.931,1,0.0654,0.4,0,0.331,0.75,144.976,124.12,4
8,9,Stuck on You,Elvis Presley,None,1960,39zODpVtRvghMyfNjZ3BVK,61,0.647,0.513,7,-12.372,1,0.0421,0.758,8.64E-06,0.108,0.955,131.641,139.64,4
9,10,The Twist,Chubby Checker,None,1960,4YCnTYbq3oL1Lqpyxg33CU,61,0.571,0.618,4,-5.682,1,0.0371,0.18,2.69E-06,0.178,0.852,156.892,155.04,4
10,11,Everybody's Somebody's Fool,Connie Francis,None,1960,0d8FE2qM1lDEv5TI8VuivT,33,0.582,0.591,1,-9.623,1,0.028,0.746,1.44E-06,0.169,0.847,84.201,157.6,4
11,12,Wild One,Bobby Rydell,None,1960,6OJZM84zgpRxRYtBk979xG,33,0.597,0.777,7,-4.722,1,0.0429,0.706,1.50E-06,0.069,0.893,148.62,141.093,4
12,13,Greenfields,The Brothers Four,None,1960,7LAsDdinXejDwodvelVVTa,46,0.466,0.125,11,-20.428,0,0.0372,0.863,0,0.121,0.338,111.43,182.027,1
13,14,What in the World's Come Over You,Jack Scott,None,1960,3XToK0X499i9odkrDCG4FL,41,0.506,0.176,4,-13.962,1,0.0303,0.802,3.93E-06,0.0978,0.492,76.273,173.267,4
14,15,El Paso,Marty Robbins,None,1960,4f8hBeMXMvssn6HtFAtblo,64,0.654,0.452,2,-9.709,1,0.03,0.835,2.89E-05,0.16,0.691,106.662,259.307,3
15,16,Alley Oop,The Hollywood Argyles,None,1960,4lWsFMUIxzLFVbWVgLwnqO,9,0.65,0.352,2,-10.304,1,0.052,0.798,4.10E-06,0.114,0.888,64.596,160.705,4
16,17,My Heart Has a Mind of Its Own,Connie Francis,None,1960,7qinPLZ41lgIGuT40EAFs0,24,0.495,0.539,6,-6.088,1,0.0336,0.819,0,0.325,0.715,109.49,152.267,4
17,18,Sweet Nothin's,Brenda Lee,None,1960,4ZiDhG5Ift5I6reAEOBBec,52,0.778,0.413,5,-10.551,1,0.0514,0.642,0.00104,0.148,0.961,125.235,144.6,4
