,rank,title,artist,other artists,year,Spotify id,Popularity
0,1,Theme from A Summer Place,Percy Faith,None,1960,6zwvB879PJSpTyFcg2wwnL,57
1,2,He'll Have to Go,Jim Reeves,None,1960,7dDE59NX0n466e705E8Itz,18
2,3,Cathy's Clown,The Everly Brothers,None,1960,1MA9StLzlFftLbuqOmoWij,52
3,4,Running Bear,Johnny Preston,None,1960,1RYznli2VNO7FCbW1Hq4KM,39
4,5,Teen Angel,Mark Dinning,None,1960,36NPEs4S7ik50NrlzaqoIJ,31
5,6,I'm Sorry,Brenda Lee,None,1960,4LJcNiq2pBb8OeqrGdBJQw,62
6,7,It's Now or Never,Elvis Presley,None,1960,1XunTmhOcj3xwh4b8P3isX,63
7,8,Handy Man,Jimmy Jones,None,1960,63l4KCU2ZpXodzDzuHtyu4,37
8,9,Stuck on You,Elvis Presley,None,1960,39zODpVtRvghMyfNjZ3BVK,61
9,10,The Twist,Chubby Checker,None,1960,4YCnTYbq3oL1Lqpyxg33CU,61
10,11,Everybody's Somebody's Fool,Connie Francis,None,1960,0d8FE2qM1lDEv5TI8VuivT,33
11,12,Wild One,Bobby Rydell,None,1960,6OJZM84zgpRxRYtBk979xG,33
12,13,Greenfields,The Brothers Four,None,1960,7LAsDdinXejDwodvelVVTa,46
13,14,What in the World's Come Over You,Jack Scott,None,1960,3XToK0X499i9odkrDCG4FL,41
14,15,El Paso,Marty Robbins,None,1960,4f8hBeMXMvssn6HtFAtblo,64
15,16,Alley Oop,The Hollywood Argyles,None,1960,4lWsFMUIxzLFVbWVgLwnqO,9
16,17,My Heart Has a Mind of Its Own,Connie Francis,None,1960,7qinPLZ41lgIGuT40EAFs0,24
17,18,Sweet Nothin's,Brenda Lee,None,1960,4ZiDhG5Ift5I6reAEOBBec,52
18,19,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,Brian Hyland,None,1960,3B3jI9LaQyOwrtjdlnNOw0,58
19,20,Only the Lonely,Roy Orbison,None,1960,0PkBTqRtN25z3oKasWoKlj,64
20,21,Where or When,Dion,the Belmonts,1960,1ZsHsqO3nrafksXkOBeUXG,37
21,22,Sixteen Reasons,Connie Stevens,None,1960,0oI0ekrSQ3aHiHcMi1B2gK,38
22,23,Puppy Love,Paul Anka,None,1960,1Gv8dvKmkHVaB1edYvW0Fr,58
23,24,Why,Frankie Avalon,None,1960,0CRxGsJrwOMQUuTr4yT5mX,38
24,25,"Walk, Don't Run",The Ventures,None,1960,7B2pUwzvlbNG9D855r9ugf,54
25,26,Save the Last Dance for Me,The Drifters,None,1960,391TUcoPonqYykPkSZ5Z9U,62
26,27,Baby (You've Got What It Takes),Dinah Washington,Brook Benton,1960,4lbUp0TQ6niHxckeazETZL,3
27,28,Sink the Bismarck,Johnny Horton,None,1960,4F7T8NnGKbhLMVtAMycDQg,45
28,29,Chain Gang,Sam Cooke,None,1960,7v1858htfU0srTDwhxeka8,57
29,30,Let It Be Me,The Everly Brothers,None,1960,0Tjdbd83LEAWrA0atsXMDJ,54
30,31,Good Timin',Jimmy Jones,None,1960,52BR7Vx8Zh3BENnHztAE5Q,35
31,32,Beyond the Sea,Bobby Darin,None,1960,3KzgdYUlqV6TOG7JCmx2Wg,70
32,33,"Go, Jimmy, Go",Jimmy Clanton,None,1960,15mwNCoUIJJ1dvtNeSbY7J,15
33,34,Night,Jackie Wilson,None,1960,0GAXsJkYFTXhw6Rs3QWFBq,20
34,35,Burning Bridges,Jack Scott,None,1960,4PZ1es22XnUyLAM4GsCIlh,25
35,36,The Big Hurt,Toni Fisher,None,1960,0QxwQkCU0CjNU86C85wmOz,21
36,37,Because They're Young,Duane Eddy,None,1960,7ByXEQfb7674aZ8HRWmcKk,14
37,38,Lonely Blue Boy,Conway Twitty,None,1960,555aGlegOjCZVH9ifvf61s,39
38,39,Pretty Blue Eyes,Steve Lawrence,None,1960,7HDyKTm5e7XV6qszYSSlku,43
39,40,Way Down Yonder in New Orleans,Freddy Cannon,None,1960,7kBvtoy7dyc1CQ2WjfGwdr,23
40,41,Paper Roses,Anita Bryant,None,1960,24B08jOsbAn8ZYVodZRnRC,6
41,42,Mr. Custer,Larry Verne,None,1960,54UFvpOyoqlUu7N09UymMz,17
42,43,I Want to Be Wanted,Brenda Lee,None,1960,3i32qvP2ZwGz7VmOA1XzQD,34
43,44,Mule Skinner Blues,The Fendermen,None,1960,5KPCpGCjdjvXdsXy89AQSQ,36
44,45,Cradle of Love,Johnny Preston,None,1960,0HHYIJBKj6GFchyYjJQ8nf,23
45,46,You Got What It Takes,Marv Johnson,None,1960,38rz74MI3lV25ZfhABoQv9,20
46,47,"Please Help Me, I'm Falling",Hank Locklin,None,1960,0dc0eU5THc1uE0Q0KV73XN,51
47,48,Love You So,Ron Holden,None,1960,75zdGixP4G3VQ5oIk1HzjU,24
48,49,Finger Poppin' Time,Hank Ballard,The Midnighters,1960,3hkLFVzqOYNrWdkbyuC0L4,33
49,50,Harbor Lights,The Platters,None,1960,3bZGw3sNQ1rQoosJzr7G2e,43
50,51,Let the Little Girl Dance,Billy Bland,None,1960,3ClUZFkkKgXjp3XERlQFdd,17
51,52,He'll Have to Stay,Jeanne Black,None,1960,4OgCE8bmGO7eatG3OuBEju,26
52,53,Theme from The Apartment,Ferrante,Teicher,1960,7CUN42trHz1jiAooYUW1GC,18
53,54,Volare,Bobby Rydell,None,1960,6aTY7Dx6719A0rTsYY7NgK,39
54,55,A Million to One,Jimmy Charles,None,1960,2HWaoy5exkRIulp61fOvQj,22
55,56,The Village of St. Bernadette,Andy Williams,None,1960,076MbdGIiRAfHrGuXXPmkz,13
56,57,White Silver Sands,Bill Black's Combo,None,1960,7IS9MwiLJp91PEyoUDazqb,18
57,58,The Old Lamp-Lighter,The Browns,None,1960,0gssZyDIxrn2CsokEML0xq,33
58,59,Devil or Angel,Bobby Vee,None,1960,5JL4jmmogEql62ljHdlYP6,37
59,60,Down by the Station,The Four Preps,None,1960,3kpuidZaDOsLP3YgFi8sxu,22
60,61,Forever,The Little Dippers,None,1960,5rWyKJMaTXL0TArnJ8IGts,45
61,62,Image of a Girl,The Safaris,The Phantom's Band,1960,7KfwGraITe6aLd827Wq0bh,30
62,63,Kiddio,Brook Benton,None,1960,7l9RNVHHVgG7mMqnRoEcjL,23
63,64,Mission Bell,Donnie Brooks,None,1960,12zEAgwHjIQRYNiAAH5UiZ,10
64,65,I Love the Way You Love,Marv Johnson,None,1960,4AtIVBQQbBgeyIzazKhfIy,8
65,66,It's Time to Cry,Paul Anka,None,1960,6dAqyQn8GS2RYRqyP5eKTp,30
66,67,Tell Laura I Love Her,Ray Peterson,None,1960,7JhN1mVlxu5dZzE9QsP0NS,35
67,68,Mama,Connie Francis,None,1960,5htJrzx9BOWrWWuTFRbehY,27
68,69,Footsteps,Steve Lawrence,None,1960,2z1mnBJRjXUpD2RFXRBm2p,39
69,70,So Sad,The Everly Brothers,None,1960,1Eo6eH8Yppywb6nkWDhB1b,32
70,71,That's All You Gotta Do,Brenda Lee,None,1960,1aTHBOr0V8XnbgHSRPyJtg,30
71,72,Walking to New Orleans,Fats Domino,None,1960,5I3hQNKjCwalENrab1SBtt,49
72,73,Among My Souvenirs,Connie Francis,None,1960,1tM2BQzEMJ5f9siQ9ZjM6P,33
73,74,Swingin' School,Bobby Rydell,None,1960,2V0U78Xx4KY843bJbuq586,19
74,75,A Rockin' Good Way (To Mess Around and Fall in Love),Dinah Washington,Brook Benton,1960,4ydSzWwxqtNdP4VPfQe8bf,45
75,76,Stairway to Heaven,Neil Sedaka,None,1960,2bHXXAgNA9MMvHE2e6Dgay,35
76,77,My Home Town,Paul Anka,None,1960,75wzEkDy6NnSj692dA99ip,32
77,78,Georgia on My Mind,Ray Charles,None,1960,47mA6f44zxLtdATOoY7GjN,53
78,79,Cherry Pie,Skip,Flip,1960,3ManMR2GV4W6xD9KQnDZHe,18
79,80,Wonderful World,Sam Cooke,None,1960,2g2GkH3vZHk4lWzBjgQ6nY,73
80,81,Tracy's Theme,Spencer Ross,None,1960,5jKFMN9GPbzXVUdg1Ub4GC,0
81,82,Lady Luck,Lloyd Price,None,1960,2MWxpIwgwY4wc4tFs6NyhS,31
82,83,Step by Step,The Crests,None,1960,0aVMQFFqVPpbvoykIABQWO,15
83,84,Happy-Go-Lucky Me,Paul Evans,None,1960,6jZxxO0ZNb8fakRXryav4y,26
84,85,Young Emotions,Ricky Nelson,None,1960,6lDX5Uhl1It298l8hhQpBr,24
85,86,Dreamin',Johnny Burnette,None,1960,3e6DgJHco44VZekE9wz8Wh,44
86,87,Poetry in Motion,Johnny Tillotson,None,1960,2HKafPuzWaKsCzcE3zFOIX,50
87,88,O Dio Mio,Annette Funicello,None,1960,6kFmfcqpy1ok5wfls2yCtZ,12
